model.term,df1,df2,F.ratio,p.value
Layer,1,441,5.805,0.0163940824707428
Condition,3,441,3298.391,1.40556729801199e-301
Duplication,3,441,179.135,6.09289163386833e-76
Session,1,441,555.771,4.11120373447204e-80
Layer:Condition,3,441,6.572,0.000235805568692485
Layer:Duplication,3,441,5.944,0.000557259393307905
Layer:Session,1,441,0.042,0.838225874225619
Condition:Duplication,9,441,28.307,9.3891107570878e-39
Condition:Session,3,441,937.419,6.69716854927288e-191
Duplication:Session,3,441,3.08,0.0273166226018128
Layer:Condition:Duplication,9,441,1.656,0.0974283388520933
Layer:Condition:Session,3,441,1.498,0.21432258197009
Layer:Duplication:Session,3,441,0.047,0.986298344329484
Condition:Duplication:Session,9,441,7.022,1.65477356379195e-09
Layer:Condition:Duplication:Session,9,441,2.719,0.00429506307005925
