contrast,Condition,Layer,estimate,SE,df,t.ratio,p.value
Duplication8 - Duplication4,Homogeneous,GC,-0.326397409528084,0.716147151523836,440.999999999881,-0.455768634747157,0.942257329137423
Duplication16 - Duplication8,Homogeneous,GC,-0.0342913787170644,0.716147151523837,440.99999999998,-0.0478831461440548,0.99992115455378
Duplication32 - Duplication16,Homogeneous,GC,0.0239208028480576,0.716147151523836,440.99999999998,0.0334020777673391,0.999973209486967
Duplication8 - Duplication4,Uniform,GC,0.0786882746379661,0.716147151523837,440.99999999998,0.109877243064545,0.999055078505899
Duplication16 - Duplication8,Uniform,GC,-0.755479574501149,0.716147151523836,440.999999999994,-1.05492226408165,0.596193623322526
Duplication32 - Duplication16,Uniform,GC,0.587990086989259,0.716147151523837,441.000000000008,0.821046464735799,0.754590494266851
Duplication8 - Duplication4,Scaled,GC,-4.92748337030377,0.716147151523836,440.99999999998,-6.88054593224165,4.12245793057764e-11
Duplication16 - Duplication8,Scaled,GC,-1.53992293953567,0.716147151523836,440.999999999994,-2.15028843759133,0.0854347352696267
Duplication32 - Duplication16,Scaled,GC,-0.393994985470171,0.716147151523837,441.000000000008,-0.550159257956718,0.905318707133437
Duplication8 - Duplication4,Adaptive,GC,-7.23055596765812,0.716147151523837,440.99999999998,-10.0964668396331,0
Duplication16 - Duplication8,Adaptive,GC,-2.31935220489371,0.716147151523836,441.000000000008,-3.23865311753113,0.00336882982517162
Duplication32 - Duplication16,Adaptive,GC,-0.668432158055922,0.716147151523837,440.999999999994,-0.933372640851275,0.679823379386437
Duplication8 - Duplication4,Homogeneous,MC,-1.31408729500682e-06,0.716147151523837,441.000000000008,-1.83494033622931e-06,1
Duplication16 - Duplication8,Homogeneous,MC,1.31408739115213e-06,0.716147151523838,440.999999999994,1.83494047048289e-06,1
Duplication32 - Duplication16,Homogeneous,MC,3.42781358853017e-15,0.716147151523837,440.999999999994,4.78646543693761e-15,1
Duplication8 - Duplication4,Uniform,MC,-1.29877188553563,0.716147151523838,440.999999999994,-1.81355449473208,0.178053124724486
Duplication16 - Duplication8,Uniform,MC,-0.486511569626742,0.716147151523838,440.999999999994,-0.679345814043286,0.840454405749434
Duplication32 - Duplication16,Uniform,MC,-0.221683331462867,0.716147151523837,440.999999999994,-0.309549973062328,0.980265369831826
Duplication8 - Duplication4,Scaled,MC,-4.32376575045858,0.716147151523836,440.999999999994,-6.0375381529597,7.27625626417705e-09
Duplication16 - Duplication8,Scaled,MC,-0.744705896029956,0.716147151523835,440.999999999994,-1.03987831892559,0.606484990422923
Duplication32 - Duplication16,Scaled,MC,-0.401645927899651,0.716147151523835,440.999999999994,-0.560842736084364,0.900539921824114
Duplication8 - Duplication4,Adaptive,MC,-3.05883759253901,0.716147151523838,440.999999999994,-4.27124172180303,7.30198358032119e-05
Duplication16 - Duplication8,Adaptive,MC,-1.41867272895821,0.716147151523839,440.999999999994,-1.98097936428222,0.12470525789491
Duplication32 - Duplication16,Adaptive,MC,-0.235235504194113,0.716147151523836,441.000000000008,-0.328473699425562,0.976646885186996
