Layer,Session,Condition,Duplication,Utilization.m,Utilization.s
GC,Concentration,Homogeneous,4,11.6864796009898,3.65121925084762
GC,Concentration,Homogeneous,8,11.1998716498277,3.23680018042204
GC,Concentration,Homogeneous,16,11.174778394175,3.07444454223316
GC,Concentration,Homogeneous,32,11.2567832151365,3.11794669986395
GC,Concentration,Uniform,4,3.87944976345525,1.32195928596387
GC,Concentration,Uniform,8,3.94254223610003,0.916368665594993
GC,Concentration,Uniform,16,3.31306946306976,1.50852385816561
GC,Concentration,Uniform,32,4.55580992121701,1.5538561092037
GC,Saturation,Homogeneous,4,16.9932849034824,0.840534858512884
GC,Saturation,Homogeneous,8,16.8270980355891,0.710959864951623
GC,Saturation,Homogeneous,16,16.7836085338076,0.678076915713321
GC,Saturation,Homogeneous,32,16.7494453185422,0.763515634912929
GC,Saturation,Uniform,4,3.86770552976451,0.676724556422294
GC,Saturation,Uniform,8,3.96198960639566,1.07108240704685
GC,Saturation,Uniform,16,3.08050323042362,1.10817767696972
GC,Saturation,Uniform,32,3.01374294625489,1.13587325479142
MC,Concentration,Homogeneous,4,7.82414809733805,0.0744578128373805
MC,Concentration,Homogeneous,8,7.82414546916327,0.0743982947548655
MC,Concentration,Homogeneous,16,7.82414809733805,0.0744578128373805
MC,Concentration,Homogeneous,32,7.82414809733805,0.0744578128373805
MC,Concentration,Uniform,4,2.24496754813064,0.0306758234989434
MC,Concentration,Uniform,8,0.96036740702663,0.0211034701249928
MC,Concentration,Uniform,16,0.737411468950517,0.0104113305386758
MC,Concentration,Uniform,32,0.591543629548595,0.00640945634255244
MC,Saturation,Homogeneous,4,13.553840038136,0.0162015835724145
MC,Saturation,Homogeneous,8,13.553840038136,0.0162015835724145
MC,Saturation,Homogeneous,16,13.553840038136,0.0162015835724145
MC,Saturation,Homogeneous,32,13.553840038136,0.0162015835724145
MC,Saturation,Uniform,4,2.80785633927828,0.0501815084606198
MC,Saturation,Uniform,8,1.49491270931102,0.0406917472005399
MC,Saturation,Uniform,16,0.744845508133653,0.0226114068206703
MC,Saturation,Uniform,32,0.447346684609842,0.0178359723620206
