Duplication,Condition,Layer,Utilization.m,Utilization.s
4,Homogeneous,GC,14.3398822522361,3.7497914265303
4,Homogeneous,MC,10.688994067737,2.95925806181437
4,Uniform,GC,3.87357764660988,1.01453697357226
4,Uniform,MC,2.52641194370446,0.293438181379503
8,Homogeneous,GC,14.0134848427084,3.68364930061934
8,Homogeneous,MC,10.6889927536496,2.95925872021888
8,Uniform,GC,3.95226592124784,0.962986887367736
8,Uniform,MC,1.22764005816883,0.2778084404727
16,Homogeneous,GC,13.9791934639913,3.60758353998199
16,Homogeneous,MC,10.688994067737,2.95925806181437
16,Uniform,GC,3.19678634674669,1.28432244577938
16,Uniform,MC,0.741128488542085,0.0174332257643722
32,Homogeneous,GC,14.0031142668394,3.58523994700867
32,Homogeneous,MC,10.688994067737,2.95925806181437
32,Uniform,GC,3.78477643373595,1.537197021302
32,Uniform,MC,0.519445157079218,0.0755801812662645
